How	how	h	ho	how	-	-	w	ow	how	-	-	0	0	0	0110	011001	01100101	01100101	01100101	01100101	O
to	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
check	check	c	ch	che	chec	check	k	ck	eck	heck	check	0	0	0	0100	010010	01001011	0100101110	0100101110	0100101110	O
if	if	i	if	-	-	-	f	if	-	-	-	0	0	0	0110	011011	01101110	0110111000	0110111000	0110111000	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
signs	signs	s	si	sig	sign	signs	s	ns	gns	igns	signs	0	0	0	1110	111010	11101011	1110101110	1110101110	1110101110	O
of	of	o	of	-	-	-	f	of	-	-	-	0	0	0	0000	0000	0000	0000	0000	0000	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
Series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
conform	conform	c	co	con	conf	confo	m	rm	orm	form	nform	0	0	0	0100	010011	01001100	0100110011	010011001111	010011001111	O
to	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
given	given	g	gi	giv	give	given	n	en	ven	iven	given	0	0	0	0101	010110	01011010	0101101011	010110101111	010110101111	O
string	string	s	st	str	stri	strin	g	ng	ing	ring	tring	0	0	0	1110	111001	11100110	1110011010	111001101010	111001101010	O
of	of	o	of	-	-	-	f	of	-	-	-	0	0	0	0000	0000	0000	0000	0000	0000	O
signs	signs	s	si	sig	sign	signs	s	ns	gns	igns	signs	0	0	0	1110	111010	11101011	1110101110	1110101110	1110101110	O
?	?	?	-	-	-	-	?	-	-	-	-	0	0	0	0011	001111	00111111	00111111	00111111	00111111	O

For	for	f	fo	for	-	-	r	or	for	-	-	0	0	0	0001	000110	000110	000110	000110	000110	O
example	example	e	ex	exa	exam	examp	e	le	ple	mple	ample	0	0	0	1110	111011	11101110	111011100	111011100	111011100	O
I	i	i	-	-	-	-	i	-	-	-	-	0	0	0	0111	011101	0111010	0111010	0111010	0111010	O
